Batter_Name,Age,G,PA,AB,R,H,1B,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,FBP,IBB,SO,GDP,SAC,SF,Year,Salary,WAR,Year_Born,Hand,CP,TP,AVG,OBP,SLG,OPS,P_Year,YAB,YOPS
정의윤,32,73,239,217,27,59,39,9,0,11,101,38,1,1,19,2,21,1,29,8,0,1,2018,30000,0.169,1986-07-25,우타우투,지명타자,지명타자,0.272,0.335,0.465,0.8,2019,380,0.789
고종욱,25,8,14,12,2,0,0,0,0,0,0,0,1,0,2,0,2,0,4,0,0,0,2014,2900,-0.258,1989-01-11,좌타우투,좌익수,좌익수,0,0.143,0,0.143,2015,407,0.822
고종욱,26,119,443,407,81,126,87,25,4,10,189,51,22,14,25,6,31,1,81,10,4,1,2015,7700,1.456,1989-01-11,좌타우투,좌익수,좌익수,0.31,0.358,0.464,0.822,2016,527,0.825
고종욱,27,133,566,527,92,176,137,22,9,8,240,72,28,14,28,5,33,1,103,10,1,5,2016,7700,1.878,1989-01-11,좌타우투,좌익수,좌익수,0.334,0.37,0.455,0.825,2017,426,0.811
고종욱,28,123,453,426,70,133,93,24,8,8,197,54,16,4,22,3,25,2,92,11,0,2,2017,12000,1.473,1989-01-11,좌타우투,좌익수,좌익수,0.312,0.349,0.462,0.811,2018,330,0.709
고종욱,29,102,351,330,47,92,64,22,0,6,132,54,17,4,15,1,16,1,96,2,1,4,2018,11000,-0.544,1989-01-11,좌타우투,좌익수,좌익수,0.279,0.309,0.4,0.709,2019,492,0.768
오준혁,19,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2011,2400,-0.07,1992-03-11,좌타우투,좌익수,좌익수,0,0,0,0,2012,15,0.321
오준혁,23,32,86,80,11,17,13,2,0,2,25,10,1,1,2,1,3,0,22,4,1,2,2015,2700,-0.359,1992-03-11,좌타우투,좌익수,좌익수,0.212,0.235,0.312,0.547,2016,132,0.749
오준혁,24,47,144,132,18,35,21,8,4,2,57,15,1,2,9,1,10,0,38,2,2,0,2016,3300,0.283,1992-03-11,좌타우투,좌익수,좌익수,0.265,0.317,0.432,0.749,2017,12,0.558
오준혁,25,14,13,12,1,3,3,0,0,0,3,1,0,0,1,0,1,0,3,0,0,0,2017,4200,0.056,1992-03-11,좌타우투,좌익수,좌익수,0.25,0.308,0.25,0.558,2018,44,0.34
오준혁,26,30,50,44,6,6,6,0,0,0,6,2,1,1,3,1,4,0,11,1,1,1,2018,4200,-0.604,1992-03-11,좌타우투,좌익수,좌익수,0.136,0.204,0.136,0.34,2019,1,0
윤정우,23,29,18,16,4,1,0,1,0,0,2,0,3,0,1,0,1,0,9,0,1,0,2011,2400,-0.164,1988-05-12,우타우투,좌익수,우익수,0.062,0.118,0.125,0.243,2012,21,0.19
한동민,23,7,7,7,1,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2012,2400,-0.005,1989-08-09,좌타우투,우익수,우익수,0.286,0.286,0.286,0.572,2013,285,0.82
한동민,24,99,327,285,36,75,44,15,2,14,136,52,2,3,20,16,36,0,82,6,3,3,2013,2400,1.844,1989-08-09,좌타우투,우익수,우익수,0.263,0.343,0.477,0.82,2014,143,0.75
한동민,27,6,20,18,3,5,5,0,0,0,5,0,1,0,1,1,2,0,5,0,0,0,2016,6500,0.046,1989-08-09,좌타우투,우익수,우익수,0.278,0.35,0.278,0.628,2017,350,1.01
한동민,28,103,414,350,64,103,51,21,2,29,215,73,2,2,46,15,61,2,79,8,0,3,2017,7000,3.998,1989-08-09,좌타우투,우익수,우익수,0.294,0.396,0.614,1.01,2018,486,0.968
한동민,29,136,562,486,97,138,66,31,0,41,292,115,4,2,52,16,68,3,124,10,0,8,2018,15000,4.48,1989-08-09,좌타우투,우익수,우익수,0.284,0.367,0.601,0.968,2019,427,0.771
김민재,18,16,16,15,0,2,2,0,0,0,2,1,0,0,0,0,0,0,4,0,1,0,1991,2400,-0.171,1973-01-03,우타우투,2루수,유격수,0.133,0.133,0.133,0.266,1992,96,0.421
김민재,19,82,100,96,11,17,14,2,1,0,21,3,0,1,2,1,3,0,18,1,1,0,1992,2400,-0.529,1973-01-03,우타우투,2루수,유격수,0.177,0.202,0.219,0.421,1993,253,0.668
김민재,20,104,286,253,30,66,54,5,4,3,88,22,2,2,20,3,23,0,33,1,8,2,1993,2400,1.493,1973-01-03,우타우투,2루수,유격수,0.261,0.32,0.348,0.668,1994,248,0.653
김민재,21,98,283,248,27,61,46,9,3,3,85,30,7,4,20,5,25,0,35,7,6,4,1994,2400,1.348,1973-01-03,우타우투,2루수,유격수,0.246,0.31,0.343,0.653,1995,325,0.591
김민재,22,122,383,325,37,70,51,14,4,1,95,32,5,3,36,5,41,0,53,3,12,5,1995,2400,1.125,1973-01-03,우타우투,2루수,유격수,0.215,0.299,0.292,0.591,1996,302,0.648
김민재,23,115,350,302,33,73,55,11,3,4,102,31,6,6,27,4,31,2,41,3,14,3,1996,2400,1.334,1973-01-03,우타우투,2루수,유격수,0.242,0.31,0.338,0.648,1997,289,0.593
김민재,24,114,316,289,21,67,48,16,1,2,91,21,11,8,16,3,19,1,48,6,7,1,1997,4850,0.416,1973-01-03,우타우투,2루수,유격수,0.232,0.278,0.315,0.593,1998,323,0.653
김민재,25,120,367,323,36,77,54,16,2,5,112,43,13,10,24,9,33,2,51,7,7,4,1998,5300,1.202,1973-01-03,우타우투,2루수,유격수,0.238,0.306,0.347,0.653,1999,389,0.703
김민재,26,130,447,389,54,106,79,20,1,6,146,53,18,6,25,10,35,0,46,9,17,6,1999,5500,1.482,1973-01-03,우타우투,2루수,유격수,0.272,0.328,0.375,0.703,2000,382,0.636
김민재,27,133,437,382,47,95,79,10,3,3,120,33,14,9,36,6,42,2,50,8,11,2,2000,8000,0.838,1973-01-03,우타우투,2루수,유격수,0.249,0.322,0.314,0.636,2001,335,0.719
김민재,28,105,374,335,48,101,84,14,1,2,123,37,6,6,23,5,28,0,28,5,8,3,2001,7600,1.63,1973-01-03,우타우투,2루수,유격수,0.301,0.352,0.367,0.719,2002,488,0.695
김민재,29,131,548,488,51,126,90,21,3,12,189,50,15,10,26,11,37,0,45,13,19,4,2002,11400,2.001,1973-01-03,우타우투,2루수,유격수,0.258,0.308,0.387,0.695,2003,369,0.592
김민재,30,129,452,369,43,78,57,16,1,4,108,36,14,7,44,4,48,0,42,13,30,5,2003,11400,-0.165,1973-01-03,우타우투,2루수,유격수,0.211,0.299,0.293,0.592,2004,435,0.622
김민재,31,129,489,435,57,113,95,13,1,4,140,40,11,3,23,4,27,0,42,11,22,5,2004,13000,0.708,1973-01-03,우타우투,2루수,유격수,0.26,0.3,0.322,0.622,2005,440,0.68
김민재,32,125,508,440,58,122,101,19,0,2,147,37,20,5,39,9,48,0,48,14,16,4,2005,13000,2.484,1973-01-03,우타우투,2루수,유격수,0.277,0.346,0.334,0.68,2006,375,0.573
김민재,33,121,428,375,41,79,57,17,0,5,111,27,11,3,31,4,35,0,54,18,17,1,2006,19000,0.771,1973-01-03,우타우투,2루수,유격수,0.211,0.277,0.296,0.573,2007,395,0.694
김민재,34,118,451,395,43,108,85,17,0,6,143,47,7,3,29,6,35,0,36,9,20,1,2007,21000,2.17,1973-01-03,우타우투,2루수,유격수,0.273,0.332,0.362,0.694,2008,357,0.622
김민재,35,114,397,357,26,86,68,13,0,5,114,35,13,3,30,2,32,1,37,6,7,1,2008,20000,1.21,1973-01-03,우타우투,2루수,유격수,0.241,0.303,0.319,0.622,2009,272,0.576
나주환,19,96,118,99,21,15,12,1,2,0,20,3,1,0,12,3,15,0,29,5,4,0,2003,2400,-0.377,1984-06-14,우타우투,2루수,유격수,0.152,0.263,0.202,0.465,2004,59,0.791
나주환,20,64,63,59,14,18,11,6,0,1,27,9,1,1,3,0,3,0,13,0,0,1,2004,2600,0.47,1984-06-14,우타우투,2루수,유격수,0.305,0.333,0.458,0.791,2005,174,0.66
나주환,21,99,200,174,21,47,37,9,0,1,59,19,8,3,10,4,14,0,36,5,10,2,2005,3300,0.451,1984-06-14,우타우투,2루수,유격수,0.27,0.321,0.339,0.66,2006,233,0.621
나주환,22,114,271,233,20,54,41,8,2,3,75,30,2,7,18,6,24,2,37,4,10,4,2006,5300,0.289,1984-06-14,우타우투,2루수,유격수,0.232,0.299,0.322,0.621,2007,284,0.625
나주환,23,117,331,284,30,69,52,13,2,2,92,27,3,4,22,4,26,0,42,6,15,6,2007,5300,0.573,1984-06-14,우타우투,2루수,유격수,0.243,0.301,0.324,0.625,2008,361,0.634
나주환,24,118,413,361,43,89,67,16,3,3,120,46,14,5,26,6,32,0,64,12,13,7,2008,8700,1.186,1984-06-14,우타우투,2루수,유격수,0.247,0.302,0.332,0.634,2009,382,0.804
나주환,25,118,454,382,60,110,82,13,0,15,168,65,21,9,41,7,48,0,74,8,20,4,2009,12000,2.694,1984-06-14,우타우투,2루수,유격수,0.288,0.364,0.44,0.804,2010,305,0.725
나주환,29,15,24,23,0,2,2,0,0,0,2,0,0,0,0,0,0,0,8,0,1,0,2013,17000,-0.362,1984-06-14,우타우투,2루수,유격수,0.087,0.087,0.087,0.174,2014,422,0.714
나주환,30,127,478,422,64,115,83,25,0,7,161,51,10,3,36,3,39,0,101,8,14,3,2014,20000,0.835,1984-06-14,우타우투,2루수,유격수,0.273,0.332,0.382,0.714,2015,246,0.697
나주환,31,96,273,246,31,66,46,15,0,5,96,22,3,5,12,2,14,0,47,9,12,1,2015,20000,-0.139,1984-06-14,우타우투,2루수,유격수,0.268,0.307,0.39,0.697,2016,57,1.119
나주환,32,24,65,57,13,22,15,2,0,5,39,12,0,4,2,3,5,0,6,4,3,0,2016,20000,0.32,1984-06-14,우타우투,2루수,유격수,0.386,0.435,0.684,1.119,2017,419,0.818
나주환,33,122,452,419,69,122,78,24,1,19,205,65,0,3,19,5,24,3,85,15,8,1,2017,15000,1.647,1984-06-14,우타우투,2루수,유격수,0.291,0.329,0.489,0.818,2018,362,0.767
나주환,34,119,420,362,54,95,59,24,0,12,155,56,5,6,38,5,43,0,66,2,13,2,2018,30000,1.271,1984-06-14,우타우투,2루수,유격수,0.262,0.339,0.428,0.767,2019,225,0.572
최항,23,37,116,106,14,34,25,8,0,1,45,16,0,1,3,3,6,0,29,1,2,2,2017,2400,0.452,1994-01-03,좌타우투,2루수,2루수,0.321,0.351,0.425,0.776,2018,222,0.834
최항,24,98,257,222,38,65,45,12,1,7,100,35,2,2,25,8,33,0,57,1,2,0,2018,4200,1.306,1994-01-03,좌타우투,2루수,2루수,0.293,0.384,0.45,0.834,2019,127,0.59
유서준,20,17,13,12,5,1,1,0,0,0,1,0,3,1,1,0,1,0,3,1,0,0,2015,2900,-0.112,1995-12-04,우타우투,지명타자,2루수,0.083,0.154,0.083,0.237,2016,7,0
정현,19,8,22,21,3,4,2,1,0,1,8,2,0,0,0,0,0,0,5,1,1,0,2013,2400,-0.066,1994-06-01,우타우투,2루수,유격수,0.19,0.19,0.381,0.571,2014,3,0
정현,23,124,399,350,45,105,76,20,3,6,149,42,4,2,18,22,40,0,70,14,6,3,2017,2800,1.782,1994-06-01,우타우투,2루수,유격수,0.3,0.369,0.426,0.795,2018,117,0.693
정현,24,65,132,117,16,31,22,7,0,2,44,9,3,0,9,0,9,0,28,3,6,0,2018,7800,-0.584,1994-06-01,우타우투,2루수,유격수,0.265,0.317,0.376,0.693,2019,37,0.286
최승준,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2400,0,1988-01-11,우타우투,1루수,지명타자,,,,,2007,4,0
최승준,25,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2013,2400,-0.106,1988-01-11,우타우투,1루수,지명타자,0,0,0,0,2014,38,0.8
최승준,26,20,40,38,4,10,5,3,0,2,19,11,0,0,2,0,2,0,11,1,0,0,2014,2700,0.193,1988-01-11,우타우투,1루수,지명타자,0.263,0.3,0.5,0.8,2015,26,0.271
최승준,27,8,31,26,0,2,2,0,0,0,2,1,0,0,4,0,4,0,7,0,0,1,2015,2700,-0.703,1988-01-11,우타우투,1루수,지명타자,0.077,0.194,0.077,0.271,2016,199,0.942
최승준,28,76,231,199,31,53,29,5,0,19,115,42,0,0,28,3,31,1,66,5,0,1,2016,4200,0.624,1988-01-11,우타우투,1루수,지명타자,0.266,0.364,0.578,0.942,2017,90,0.774
최승준,29,31,98,90,11,21,11,4,0,6,43,16,0,0,7,1,8,0,34,3,0,0,2017,6200,-0.143,1988-01-11,우타우투,1루수,지명타자,0.233,0.296,0.478,0.774,2018,72,0.774
최승준,30,27,79,72,5,18,11,3,0,4,33,11,0,0,6,1,7,0,25,3,0,0,2018,5600,0.059,1988-01-11,우타우투,1루수,지명타자,0.25,0.316,0.458,0.774,2019,22,0.519
최정,18,45,93,85,6,21,15,5,0,1,29,11,0,0,5,2,7,0,27,3,1,0,2005,2400,0.149,1987-02-28,우타우투,3루수,3루수,0.247,0.304,0.341,0.645,2006,280,0.664
최정,19,92,304,280,25,62,39,11,0,12,109,40,3,2,14,7,21,1,90,6,2,1,2006,2400,0.389,1987-02-28,우타우투,3루수,3루수,0.221,0.275,0.389,0.664,2007,408,0.774
최정,20,122,462,408,49,109,73,19,1,16,178,66,8,7,33,11,44,1,84,3,9,1,2007,3400,3.149,1987-02-28,우타우투,3루수,3루수,0.267,0.338,0.436,0.774,2008,406,0.89
최정,21,114,476,406,77,133,96,24,1,12,195,61,19,8,41,17,58,2,58,7,10,2,2008,9000,5.401,1987-02-28,우타우투,3루수,3루수,0.328,0.41,0.48,0.89,2009,339,0.854
최정,22,99,410,339,63,90,56,15,0,19,162,58,11,0,40,22,62,0,64,6,6,3,2009,15000,3.304,1987-02-28,우타우투,3루수,3루수,0.265,0.376,0.478,0.854,2010,400,0.928
최정,23,123,493,400,84,120,68,31,1,20,213,80,12,4,49,20,69,0,72,7,16,8,2010,16000,5.067,1987-02-28,우타우투,3루수,3루수,0.3,0.396,0.532,0.928,2011,403,0.928
최정,24,113,488,403,64,125,79,25,1,20,212,75,15,5,46,20,66,1,72,8,13,6,2011,22000,5.758,1987-02-28,우타우투,3루수,3루수,0.31,0.402,0.526,0.928,2012,474,0.923
최정,25,130,553,474,85,142,82,33,1,26,255,84,20,8,49,21,70,7,98,8,3,6,2012,28000,7.289,1987-02-28,우타우투,3루수,3루수,0.3,0.385,0.538,0.923,2013,434,0.98
최정,26,120,525,434,75,137,91,18,0,28,239,83,24,8,64,24,88,9,109,10,1,2,2013,52000,7.112,1987-02-28,우타우투,3루수,3루수,0.316,0.429,0.551,0.98,2014,308,0.903
최정,27,82,361,308,65,94,60,20,0,14,156,76,7,2,37,12,49,0,69,9,1,3,2014,70000,3.386,1987-02-28,우타우투,3루수,3루수,0.305,0.397,0.506,0.903,2015,275,0.943
최정,28,81,330,275,43,81,47,17,0,17,149,58,5,2,46,5,51,2,78,6,1,3,2015,100000,3.955,1987-02-28,우타우투,3루수,3루수,0.295,0.401,0.542,0.943,2016,500,0.983
최정,29,141,606,500,106,144,79,24,1,40,290,106,1,2,77,23,100,2,126,6,0,6,2016,100000,5.495,1987-02-28,우타우투,3루수,3루수,0.288,0.403,0.58,0.983,2017,430,1.111
최정,30,130,527,430,89,136,71,18,1,46,294,113,1,5,70,19,89,10,107,8,0,8,2017,120000,6.68,1987-02-28,우타우투,3루수,3루수,0.316,0.427,0.684,1.111,2018,406,0.915
최정,31,115,489,406,95,99,47,16,1,35,222,74,9,2,58,23,81,2,129,10,0,2,2018,120000,3.804,1987-02-28,우타우투,3루수,3루수,0.244,0.368,0.547,0.915,2019,503,0.918
로맥,32,102,416,359,58,87,37,19,0,31,199,64,1,1,50,6,56,2,116,6,0,1,2017,30000,1.756,1985-09-30,우타우투,1루수,1루수,0.242,0.344,0.554,0.898,2018,528,1.001
로맥,33,141,616,528,102,167,105,19,0,43,315,107,10,5,72,10,82,0,123,7,0,6,2018,50000,5.362,1985-09-30,우타우투,1루수,1루수,0.316,0.404,0.597,1.001,2019,504,0.878
남태혁,25,16,48,44,2,9,6,3,0,0,12,2,1,0,3,0,3,0,18,3,0,1,2016,2700,-0.416,1991-03-13,우타우투,지명타자,지명타자,0.205,0.25,0.273,0.523,2017,60,0.691
남태혁,26,31,68,60,8,15,12,1,0,2,22,11,0,0,6,1,7,0,20,0,0,1,2017,3000,-0.109,1991-03-13,우타우투,지명타자,지명타자,0.25,0.324,0.367,0.691,2018,11,0.364
남태혁,27,7,11,11,0,2,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2018,3300,-0.157,1991-03-13,우타우투,지명타자,지명타자,0.182,0.182,0.182,0.364,2019,22,0.519
안상현,21,1,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018,2700,0.027,1997-01-27,우타우투,2루수,2루수,0.5,0.5,0.5,1,2019,102,0.527
박정권,26,100,229,208,26,46,28,12,2,4,74,25,2,1,15,2,17,2,50,5,4,0,2007,2000,-0.145,1981-07-21,좌타좌투,1루수,1루수,0.221,0.28,0.356,0.636,2008,127,0.697
박정권,27,56,138,127,15,33,25,4,1,3,48,20,0,0,11,0,11,1,23,3,0,0,2008,4000,0.254,1981-07-21,좌타좌투,1루수,1루수,0.26,0.319,0.378,0.697,2009,446,0.858
박정권,28,131,511,446,70,123,71,27,0,25,225,76,5,4,51,4,55,4,91,8,8,2,2009,5000,2.06,1981-07-21,좌타좌투,1루수,1루수,0.276,0.354,0.504,0.858,2010,431,0.892
박정권,29,124,505,431,76,132,91,19,4,18,213,76,17,5,63,5,68,8,89,7,2,4,2010,12500,3.942,1981-07-21,좌타좌투,1루수,1루수,0.306,0.398,0.494,0.892,2011,453,0.71
박정권,30,122,507,453,54,114,78,21,2,13,178,53,9,3,42,3,45,5,103,9,6,3,2011,20000,1.018,1981-07-21,좌타좌투,1루수,1루수,0.252,0.317,0.393,0.71,2012,416,0.717
박정권,31,122,472,416,61,106,75,18,1,12,162,59,4,6,43,4,47,2,80,7,6,3,2012,19500,1.433,1981-07-21,좌타좌투,1루수,1루수,0.255,0.328,0.389,0.717,2013,363,0.895
박정권,32,110,434,363,56,106,67,20,1,18,182,70,4,4,64,1,65,5,79,5,0,6,2013,20500,3.279,1981-07-21,좌타좌투,1루수,1루수,0.292,0.394,0.501,0.895,2014,452,0.938
박정권,33,120,499,452,81,140,78,33,2,27,258,109,7,9,41,2,43,2,106,6,0,4,2014,23500,3.402,1981-07-21,좌타좌투,1루수,1루수,0.31,0.367,0.571,0.938,2015,438,0.83
박정권,34,124,494,438,66,123,79,23,0,21,209,70,3,3,46,4,50,1,119,9,4,2,2015,40000,2.348,1981-07-21,좌타좌투,1루수,1루수,0.281,0.353,0.477,0.83,2016,422,0.797
박정권,35,125,468,422,59,117,79,17,3,18,194,59,4,0,35,5,40,0,99,7,2,4,2016,40000,1.811,1981-07-21,좌타좌투,1루수,1루수,0.277,0.337,0.46,0.797,2017,305,0.794
박정권,36,118,345,305,37,78,47,14,1,16,142,51,1,1,30,5,35,0,78,4,0,5,2017,40000,0.782,1981-07-21,좌타좌투,1루수,1루수,0.256,0.328,0.466,0.794,2018,29,0.605
박정권,37,14,31,29,4,5,3,0,0,2,11,6,0,0,2,0,2,0,9,0,0,0,2018,40000,-0.134,1981-07-21,좌타좌투,1루수,1루수,0.172,0.226,0.379,0.605,2019,32,0.609
박성한,19,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2017,2700,-0.054,1998-03-30,좌타우투,유격수,2루수,0,0,0,0,2018,52,0.391
조인성,23,84,141,134,10,36,26,8,0,2,50,15,0,0,3,0,3,0,22,3,3,1,1998,2400,0.522,1975-05-25,우타우투,포수,포수,0.269,0.283,0.373,0.656,1999,142,0.686
조인성,24,56,157,142,23,36,25,6,0,5,57,22,0,0,6,1,7,0,27,4,6,2,1999,3000,0.334,1975-05-25,우타우투,포수,포수,0.254,0.285,0.401,0.686,2000,227,0.604
조인성,25,108,258,227,19,51,40,5,1,5,73,33,2,1,16,4,20,0,59,6,6,5,2000,4000,0.221,1975-05-25,우타우투,포수,포수,0.225,0.282,0.322,0.604,2001,186,0.696
조인성,26,82,210,186,19,47,32,10,0,5,72,26,1,2,12,4,16,0,27,4,6,2,2001,5700,0.663,1975-05-25,우타우투,포수,포수,0.253,0.309,0.387,0.696,2002,362,0.713
조인성,27,124,391,362,36,97,65,21,2,9,149,48,3,0,14,5,19,0,82,11,5,5,2002,5500,2.166,1975-05-25,우타우투,포수,포수,0.268,0.301,0.412,0.713,2003,428,0.738
조인성,28,132,456,428,43,110,69,20,2,19,191,58,0,1,15,8,23,0,67,17,1,4,2003,10000,2.58,1975-05-25,우타우투,포수,포수,0.257,0.292,0.446,0.738,2004,386,0.677
조인성,29,129,432,386,40,98,74,16,0,8,138,49,2,5,36,3,39,0,63,9,3,4,2004,15000,1.855,1975-05-25,우타우투,포수,포수,0.254,0.319,0.358,0.677,2005,201,0.653
조인성,30,85,230,201,22,45,28,11,0,6,74,34,0,0,14,4,18,0,34,2,9,2,2005,14000,0.698,1975-05-25,우타우투,포수,포수,0.224,0.285,0.368,0.653,2006,326,0.696
조인성,31,112,362,326,37,80,52,18,0,10,128,38,0,1,28,0,28,5,30,11,6,2,2006,13000,2.151,1975-05-25,우타우투,포수,포수,0.245,0.303,0.393,0.696,2007,419,0.764
조인성,32,124,464,419,44,118,81,24,0,13,181,73,1,1,30,4,34,3,61,8,6,5,2007,25000,3.676,1975-05-25,우타우투,포수,포수,0.282,0.332,0.432,0.764,2008,330,0.643
조인성,33,102,353,330,25,75,46,18,1,10,125,49,0,0,17,1,18,1,76,6,1,4,2008,40000,1.173,1975-05-25,우타우투,포수,포수,0.227,0.264,0.379,0.643,2009,266,0.707
조인성,34,95,300,266,35,57,32,10,1,14,111,36,0,2,28,1,29,1,53,10,3,2,2009,40000,0.889,1975-05-25,우타우투,포수,포수,0.214,0.29,0.417,0.707,2010,457,0.932
조인성,35,133,511,457,69,145,92,24,1,28,255,107,2,0,41,3,44,8,83,19,5,5,2010,40000,5.961,1975-05-25,우타우투,포수,포수,0.317,0.374,0.558,0.932,2011,390,0.773
조인성,36,117,441,390,46,104,73,14,2,15,167,59,2,1,44,3,47,3,70,10,2,1,2011,50000,3.719,1975-05-25,우타우투,포수,포수,0.267,0.345,0.428,0.773,2012,284,0.724
조인성,37,104,307,284,32,77,55,13,0,9,117,40,0,1,16,2,18,1,60,5,3,2,2012,40000,2.238,1975-05-25,우타우투,포수,포수,0.271,0.312,0.412,0.724,2013,207,0.606
조인성,38,88,223,207,16,44,27,10,0,7,75,29,0,1,7,2,9,0,65,4,5,1,2013,40000,0.177,1975-05-25,우타우투,포수,포수,0.213,0.244,0.362,0.606,2014,164,0.686
조인성,39,75,185,164,16,37,23,7,0,7,65,34,0,0,14,2,16,0,40,5,2,3,2014,40000,0.356,1975-05-25,우타우투,포수,포수,0.226,0.29,0.396,0.686,2015,276,0.679
조인성,40,106,310,276,33,64,42,11,0,11,108,44,0,0,16,6,22,0,89,5,11,1,2015,40000,0.241,1975-05-25,우타우투,포수,포수,0.232,0.288,0.391,0.679,2016,137,0.434
조인성,41,76,146,137,10,23,18,2,0,3,34,7,0,0,2,1,3,0,38,2,6,0,2016,40000,-1.508,1975-05-25,우타우투,포수,포수,0.168,0.186,0.248,0.434,2017,29,0.276
이재원,18,23,49,48,2,15,15,0,0,0,15,4,0,0,1,0,1,0,9,2,0,0,2006,2400,0.246,1988-02-24,우타우투,포수,포수,0.312,0.327,0.312,0.639,2007,108,0.878
이재원,19,66,119,108,16,36,25,8,0,3,53,21,1,0,7,3,10,0,13,4,0,1,2007,2200,0.97,1988-02-24,우타우투,포수,포수,0.333,0.387,0.491,0.878,2008,146,0.877
이재원,20,82,171,146,14,46,29,13,1,3,70,25,2,0,20,2,22,0,24,8,0,3,2008,4000,1.299,1988-02-24,우타우투,포수,포수,0.315,0.398,0.479,0.877,2009,32,0.868
이재원,21,24,39,32,2,11,9,2,0,0,13,5,0,0,6,1,7,0,4,1,0,0,2009,5500,0.255,1988-02-24,우타우투,포수,포수,0.344,0.462,0.406,0.868,2010,70,0.692
이재원,24,16,33,28,3,9,7,0,0,2,15,7,0,0,4,1,5,0,4,1,0,0,2012,5000,0.534,1988-02-24,우타우투,포수,포수,0.321,0.424,0.536,0.96,2013,226,0.725
이재원,25,69,252,226,27,57,38,10,1,8,93,41,2,1,17,4,21,0,32,8,3,2,2013,5400,1.499,1988-02-24,우타우투,포수,포수,0.252,0.313,0.412,0.725,2014,412,0.92
이재원,26,120,484,412,48,139,95,30,2,12,209,83,3,0,49,12,61,7,66,14,0,11,2014,7500,3.945,1988-02-24,우타우투,포수,포수,0.337,0.413,0.507,0.92,2015,489,0.79
이재원,27,140,559,489,58,138,102,18,1,17,209,100,1,3,54,11,65,5,85,22,0,5,2015,28000,1.475,1988-02-24,우타우투,포수,포수,0.282,0.363,0.427,0.79,2016,411,0.8
이재원,28,130,472,411,49,119,89,15,0,15,179,64,1,5,43,9,52,3,76,15,2,7,2016,28000,1.912,1988-02-24,우타우투,포수,포수,0.29,0.364,0.436,0.8,2017,314,0.668
이재원,29,114,350,314,32,76,52,15,0,9,118,42,0,1,16,8,24,0,55,9,8,4,2017,35000,0.222,1988-02-24,우타우투,포수,포수,0.242,0.292,0.376,0.668,2018,407,0.919
이재원,30,130,471,407,63,134,93,24,0,17,209,57,0,0,43,12,55,0,65,13,4,5,2018,35000,4.134,1988-02-24,우타우투,포수,포수,0.329,0.405,0.514,0.919,2019,451,0.717
이호준,20,17,24,18,6,3,1,1,0,1,7,3,0,0,5,1,6,0,8,0,0,0,1996,2400,0.158,1976-02-08,우타우투,지명타자,1루수,0.167,0.375,0.389,0.764,1997,126,0.872
이호준,21,54,140,126,26,35,17,9,1,8,70,20,0,0,7,1,8,0,27,1,4,2,1997,1800,0.819,1976-02-08,우타우투,지명타자,1루수,0.278,0.316,0.556,0.872,1998,422,0.855
이호준,22,121,465,422,64,128,81,27,1,19,214,77,5,2,27,6,33,1,71,13,2,8,1998,2800,3.659,1976-02-08,우타우투,지명타자,1루수,0.303,0.348,0.507,0.855,1999,312,0.82
이호준,23,107,342,312,48,86,53,16,1,16,152,55,5,2,24,3,27,1,46,13,3,0,1999,4000,1.425,1976-02-08,우타우투,지명타자,1루수,0.276,0.333,0.487,0.82,2000,190,0.728
이호준,24,61,209,190,23,44,25,9,0,10,83,25,1,0,12,4,16,0,45,9,3,0,2000,4000,0.133,1976-02-08,우타우투,지명타자,1루수,0.232,0.291,0.437,0.728,2001,286,0.7
이호준,25,80,308,286,44,67,37,17,5,8,118,30,4,3,18,3,21,0,44,7,1,0,2001,5000,-0.025,1976-02-08,우타우투,지명타자,1루수,0.234,0.287,0.413,0.7,2002,444,0.865
이호준,26,129,499,444,76,128,79,24,2,23,225,64,5,3,45,4,49,3,75,12,4,2,2002,5000,3.276,1976-02-08,우타우투,지명타자,1루수,0.288,0.358,0.507,0.865,2003,473,0.953
이호준,27,133,554,473,86,137,80,20,1,36,267,102,9,7,69,9,78,4,80,6,2,1,2003,8000,5.146,1976-02-08,우타우투,지명타자,1루수,0.29,0.389,0.564,0.953,2004,497,0.881
이호준,28,133,578,497,87,139,85,22,2,30,255,112,7,7,69,4,73,5,75,12,2,6,2004,15000,3.919,1976-02-08,우타우투,지명타자,1루수,0.28,0.368,0.513,0.881,2005,354,0.867
이호준,31,101,391,351,56,110,73,22,1,14,176,71,3,6,31,3,34,0,59,13,0,6,2007,25000,3.014,1976-02-08,우타우투,지명타자,1루수,0.313,0.368,0.501,0.869,2008,25,0.511
